Video title,Views,Average view duration,Ad impressions,Impressions,Impressions click-through rate (%),CPM (USD),RPM (USD),Estimated revenue (USD)
'How Can We Save the Amazon Rainforest?' Trailer,170,0:00:12,0,2799,1.43,,0.029,0.005
'Hello Frisco' Trailer,143,0:00:14,0,1990,0.5,,0.077,0.011
'Carol' Trailer,122,0:00:11,0,489,2.86,,0.049,0.006
Net Zero Speaks with Alexander Leicht #shorts,118,0:00:13,0,2599,2.08,,0,0
'A Sonic Pulse' Trailer,109,0:00:09,0,2021,0.59,,0.064,0.007
'What Technologies are Helping to Save our Oceans?' Trailer,106,0:00:09,0,1090,1.01,,0.085,0.009
Net Zero Speaks With Rep Sam Onuigbo #shorts,104,0:00:07,0,693,1.44,,0,0
'Ascent' Trailer,100,0:00:12,0,1018,0.69,,0.07,0.007
Net Zero Speaks With Manuel Diaz #Shorts,70,0:00:15,1,968,3.82,1,0.014,0.001
Don't Miss These Films in April!,60,0:00:19,8,649,6.01,1,0.083,0.005
Detroit Hives,60,0:01:26,0,483,3.73,,0,0
'Sebastiana' Trailer,59,0:00:11,0,1528,1.44,,0.034,0.002
'The Promise of Blockchain Technology' Short,58,0:00:10,0,880,0.68,,0.086,0.005
'Big Data is Tracking You' Trailer,57,0:00:08,0,1686,0.89,,0.018,0.001
'Take a Walk on the Wildside' Short,56,0:00:14,0,1061,2.64,,0.056,0.003
'Taking Root' Trailer,50,0:00:10,0,679,0.88,,0.08,0.004
Don't Miss These Films In March,50,0:00:22,20,1066,2.16,2.4,0.54,0.027
'Web of Polarization' Short,47,0:00:14,0,379,0.53,,0.106,0.005
'Ciclo de Cambio' Short,43,0:00:12,0,277,0,,0.07,0.003
'38th Parallel' Short,41,0:00:13,0,786,0.25,,0.077,0.003
'Fish Tale' Short,34,0:00:11,0,596,0.5,,0.118,0.004
'I Am Fundi' Trailer,28,0:00:08,0,896,1.56,,0.036,0.001
'Everything You Need to Know About Long Covid-19' Trailer,27,0:00:21,0,2039,0.74,,0.037,0.001
"ग्रह कक्षा का परिचय - 4 जनवरी, 2021 को लॉन्च | grah kaksha ka parichay - 4 janavaree, 2021 ko lonch",23,0:00:16,0,636,1.57,,0,0
Dance! A Critique By Ali Grutchfield,20,0:01:07,0,0,,,0,0
行星课堂简介-2021年1月4日启动 | Xíngxīng kètáng jiǎnjiè-2021 nián 1 yuè 4 rì qǐdòng,19,0:00:16,0,581,1.2,,0,0
'My Superpower' Trailer,15,0:00:11,0,383,1.31,,0.067,0.001
Introduzione a Planet Classroom - Lancio 4 gennaio 2021,13,0:00:14,0,547,0.91,,0,0
Introdução ao Planet Classroom - Lançamento em 4 de janeiro de 2021,11,0:00:14,0,414,1.45,,0,0
Introduction à Planet Classroom - Lancement le 4 janvier 2021,8,0:00:19,0,315,1.9,,0,0
Against The Tide: A Journey for Climate Hope,6,0:00:04,0,0,,,0,0
'The Search for Me' Short,6,0:00:07,0,70,4.29,,0,0
Johdatus planeettaluokkaan - käynnistetään 4. tammikuuta 2021,5,0:00:13,0,418,0.72,,0,0
'Night Adventure' Short,3,0:00:10,0,11,0,,,0
'How Do We Solve Climate Migration?' Short,3,0:00:09,0,25,8,,,0
'Net Zero Speaks with Ineza Umuhoza Grace' Short,3,0:00:06,0,5,20,,,0
'Education and Regulation for Ethical AI' Short,2,0:00:20,0,11,9.09,,,0
'When Bugs Fly: Tale of the Nite-Kite' Short,2,0:00:13,0,9,0,,,0
'Universal Blueprint' Short,2,0:00:17,0,10,10,,,0
What Could Be Hotter Than Solar Windows?,2,0:00:18,0,0,,,0,0
مقدمة إلى Planet Classroom - تم إطلاقه في 4 يناير 2021,2,0:00:24,0,276,0.36,,0,0
"প্ল্যানেট শ্রেণিকক্ষের পরিচিতি - 4 জানুয়ারী, 2021 চালু হচ্ছে",2,0:00:08,0,313,0.64,,0,0
'Blessing' Short,2,0:00:18,0,15,0,,,0
PlanetClassroomの紹介-2021年1月4日発売,1,0:00:07,0,307,0.33,,0,0
Net Zero #3 Youth Monitor the Green Transition - Planet Classroom Podcast Ep.28,1,0:00:03,0,0,,,0,0
What Do You Know About the Global Ocean Treaty?,1,0:00:06,0,0,,,0,0
'The Disputants' Short,1,0:00:19,0,11,0,,,0
Indigenous Studies,1,0:00:20,0,0,,,0,0
Game Development: Exploring Creative Uses of ‘On touch’ through Classic Video Games,1,0:00:03,0,0,,,0,0
'How Will 5G Improve Learning in Today's World?' Short,1,0:00:22,0,86,1.16,,,0
Знакомство с Planet Classroom - запуск 4 января 2021 г.,0,,0,300,0,,,0
Copy of ILA NSP Anthony John Wiles Jr,0,,0,0,,,,0
Copy of ILA NSP Isabella Ramirez,0,,0,0,,,,0
Irene,0,,0,0,,,,0
